"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","menu module","checking reset button","0","0","1","0","0"
"","menu module","checking login","0","0","1","0","0"
"","order module","processing purchase with relevant data","0","0","1","0","0"
"","menu module","checking app state after clicking on reset button","0","0","1","0","0"
"","auth page","wrong data authorization","0","0","1","0","0"
"","auth page","perfomance glitch user authorization","0","0","1","0","0"
"","auth page","problem user authorization","0","0","2","0","0"
"","item card","go to the product card by clicking the item image","0","0","1","0","0"
"","filter module","checking low to high filter","0","0","1","0","0"
"","cart module","removing items from cart","0","0","1","0","0"
"","filter module","checking z to a filter","0","0","1","0","0"
"","menu module","checking about button clickability","0","0","1","0","0"
"","form page","form fields filling","0","0","3","0","0"
"","cart module","removing items from cart from item card","0","0","1","0","0"
"","filter module","checking a to z filter","0","0","1","0","0"
"","auth page","locked out user authorization","0","0","1","0","0"
"","form page","form button clickability","0","0","1","0","0"
"","order module","processing purchase with empty cart","0","0","1","0","0"
"","auth page","standard user authorization","0","0","1","0","0"
"","filter module","checking high to low filter","0","0","1","0","0"
"","item card","going to product card by clicking on item title","0","0","1","0","0"
"","cart module","adding items to cart from item card","0","0","1","0","0"
"","cart module","adding items to cart","0","0","1","0","0"
